Word,Valence,Arousal,Dominance,VD_PC1,plutchik_label,insideout2_label
starfish,6.53,4.23,5.79,1.269343482395547,trust,joy
starlet,6.26,4.18,5.61,0.9839291803460399,anticipation,ennui
starlight,7.68,4.91,5.0,1.3118244671039856,anticipation,joy
starling,5.53,4.32,5.91,0.805120103646199,anticipation,ennui
starry,7.4,3.96,5.59,1.601169453622853,trust,joy
starship,6.32,4.83,5.41,0.866480016070206,anticipation,disgust
start,6.41,4.81,5.5,0.9842274373447848,anticipation,disgust
starter,5.71,4.0,5.58,0.6562564961413864,anticipation,ennui
startle,4.65,4.4,4.55,-0.7079371449455785,disgust,disgust
startled,4.53,5.67,3.43,-1.6185777263586842,anger,anger
startling,5.17,5.23,4.64,-0.35168563939155484,anticipation,disgust
starvation,1.72,5.45,3.81,-2.890789456600608,fear,embarrassment
starve,2.53,4.0,3.12,-2.9615286946998975,sadness,anxiety
starving,2.86,5.1,4.86,-1.4671500822301702,disgust,disgust
stash,5.24,4.64,5.77,0.5387583491629385,anticipation,disgust
stat,4.86,3.76,5.11,-0.16941775507177678,disgust,ennui
state,5.73,3.29,5.65,0.7201047907436433,trust,ennui
stately,5.05,3.1,5.27,0.056550813694256914,disgust,ennui
statement,5.32,3.7,6.89,1.4272125041314452,trust,ennui
stateroom,5.64,3.63,5.19,0.323509082175007,anticipation,ennui
stateside,4.84,3.77,4.89,-0.34631265263108413,disgust,ennui
statesman,4.58,2.89,4.92,-0.46791510392957064,sadness,ennui
static,4.41,3.33,4.45,-0.9164201055845422,sadness,ennui
station,5.5,3.0,4.61,-0.1912569418150183,disgust,ennui
stationary,5.45,2.72,5.9,0.7532108105598634,trust,ennui
stationery,5.6,3.06,6.14,1.017284474458391,trust,ennui
statistic,4.55,4.5,5.74,0.13343317240218708,anticipation,disgust
statistical,5.1,3.19,4.92,-0.1794915601497771,disgust,ennui
statue,5.95,2.82,4.95,0.31457932238937325,anticipation,ennui
stature,5.7,3.57,5.89,0.8843395356414733,trust,ennui
status,4.89,3.83,5.28,-0.024658451887004062,anticipation,ennui
statute,5.18,3.65,5.67,0.43011430752467256,anticipation,ennui
statutory,4.37,5.0,4.32,-1.0365802545919183,disgust,disgust
stay,6.14,3.14,5.71,0.9927343029836078,trust,ennui
STD,1.95,5.36,3.42,-3.0571386722324903,fear,embarrassment
stead,5.32,2.76,5.54,0.40979307751799454,trust,ennui
steadfast,6.68,3.95,6.77,2.0911137208821886,trust,joy
steady,6.67,3.0,6.42,1.8217917073712557,trust,ennui
steak,6.2,3.63,6.04,1.2747164691560176,trust,ennui
steakhouse,6.94,3.95,5.48,1.2631247073414558,trust,ennui
steal,2.17,5.3,3.0,-3.2516438150669336,fear,embarrassment
stealing,2.75,4.57,5.5,-1.0458305823360716,disgust,disgust
stealth,5.45,4.22,5.15,0.18797779577461282,anticipation,ennui
steam,5.4,4.0,4.84,-0.07338488339237376,anticipation,ennui
steamboat,5.52,5.14,5.6,0.5659438509238115,anticipation,disgust
steamer,4.91,3.73,5.54,0.18238220646084932,anticipation,ennui
steaming,5.05,3.56,6.25,0.7951219530136513,anticipation,ennui
steamship,5.91,4.5,5.38,0.6164598244216505,anticipation,disgust
steamy,6.39,5.71,5.79,1.1916909898394483,surprise,joy
steel,4.95,3.86,5.68,0.3100787956653622,anticipation,ennui
steep,5.32,4.95,5.04,0.032971067661160786,anticipation,disgust
steeple,5.62,3.04,4.89,0.0863226630386067,disgust,ennui
steer,5.68,5.05,5.94,0.9109285234048572,anticipation,disgust
steering,4.9,3.22,7.29,1.4957126343486173,trust,ennui
stellar,5.95,4.33,6.12,1.1963428254543642,trust,joy
stem,5.1,3.47,6.19,0.7776363448865808,trust,ennui
stench,2.62,4.53,3.47,-2.6478338282997647,disgust,anxiety
stenographer,4.95,3.81,4.95,-0.24008133872561482,disgust,ennui
step,5.68,3.48,6.0,0.9561471645876769,trust,ennui
stepdaughter,5.47,3.55,4.88,-0.004412876325778217,anticipation,ennui
stepfather,3.72,3.59,3.79,-1.7965410147649046,sadness,ennui
